author,title,annotation,img_url,book_url,genre
Voron,Холод. Сага. Часть 20. Ущелье живых призраков,"Рядом с Маргаритой на скамейке сидел мужчина в черном плаще и тонких лайковых кожаных перчатках, сжимающих трость: 
– Здравствуйте, Маргарита. Не пугайтесь. С вами ...",https://rust.litnet.com/uploads/covers/120/1634488711_90.jpg,https://litnet.com/ru/book/xolod-saga-chast-20-ushchele-zhivyh-prizrakov-b367702,"Детективы, Криминальный детектив"
Voron,Холод. Сага. Часть 24. Цитадель проклятых,"– Ты нашел того, кто на фотографии? – Тея почувствовала, что он ждет этого вопроса, но поняла, что он на него не ответит, – Кто на той фотографии? – переспросила Тея.
...",https://rust.litnet.com/uploads/covers/120/1645114854_85.jpg,https://litnet.com/ru/book/xolod-saga-chast-20-ushchele-zhivyh-prizrakov-b367702,"Детективы, Криминальный детектив"
Voron,Холод. Сага. Часть 22. Убить заново,"- Вот я тебя и нашел. Ну здравствуй… Зелёный!
Он неспеша повернул голову и столкнулся с дулом направленного на него пистолета.
- Вот как оказывается в жизни бывает, -...",https://rust.litnet.com/uploads/covers/120/1639974271_57.jpg,https://litnet.com/ru/book/xolod-saga-chast-20-ushchele-zhivyh-prizrakov-b367702,"Детективы, Криминальный детектив"
Voron,Холод. Сага. Часть 23. Искра безумия,"""Время – вода. Она бывает горячей, а бывает холодной. Каждому времени своя вода. Два времени сошлись. Значит пробил час. Ты идешь к кому-то, а приходишь к себе. Встреча...",https://rust.litnet.com/uploads/covers/120/1643636738_20.jpg,https://litnet.com/ru/book/xolod-saga-chast-20-ushchele-zhivyh-prizrakov-b367702,"Детективы, Криминальный детектив"
Элизабет Кэйтр ,Сталь,"Вся её жизнь - сплошная череда понятных только её разуму выборов, которые ведут к абсолютной деструкции моральных устоев.

Каждую трезвую ночь он чувствует запах г...",https://rust.litnet.com/uploads/covers/120/1612203981_14.jpg,https://litnet.com/ru/book/xolod-saga-chast-20-ushchele-zhivyh-prizrakov-b367702,"Детективы, Криминальный детектив"
Вера Мелентьева,Осколки,"Моим мучителям нужна была флешка с компроматом, исчезнувшая, не без моей помощи, из сейфа местного мафиози по прозвищу Бес. Вместе с ней исчез и мой любовник, а вот ...",https://rust.litnet.com/uploads/covers/120/1624649973_5.png,https://litnet.com/ru/book/xolod-saga-chast-20-ushchele-zhivyh-prizrakov-b367702,"Детективы, Криминальный детектив"
Voron,Париж. Вдали от рая (ч.2),"Париж никуда не делся. За десять лет он так и остался легким, обаятельным, красивым и отчаянно-грязным городом контрастов. Наум взял чашку и огляделся по сторонам, н...",https://rust.litnet.com/uploads/covers/120/1611517806_41.png,https://litnet.com/ru/book/xolod-saga-chast-20-ushchele-zhivyh-prizrakov-b367702,"Детективы, Криминальный детектив"
Ия Ковач,Кукша,"Ну что ж, меня зовут Мария Кукшина и это моя история.  Не знаю чем она закончится, но начинается  она здесь и сейчас, и проживём мы её вместе с вами. В моей истории есть ...",https://rust.litnet.com/uploads/covers/120/1707562928_36.jpeg,https://litnet.com/ru/book/xolod-saga-chast-20-ushchele-zhivyh-prizrakov-b367702,"Детективы, Криминальный детектив"
Mary Kay,Исчезнувшая,"Саманта собирается поехать со своими друзьями в горы, но чувство тревоги начало посещать девушку ещё с самого начала их пути. Стоит ли ей прислушаться к этому чувст...",https://rust.litnet.com/uploads/covers/120/1642454290_98.jpg,https://litnet.com/ru/book/xolod-saga-chast-20-ushchele-zhivyh-prizrakov-b367702,"Детективы, Криминальный детектив"
Таня Ли Платт,Код Днк,"Спускать все на тормоза было более увлекательным занятием, чем кто-либо мог подумать. Некая игра на выживание в путанице нитей кода, который давал начало любой чело...",https://rust.litnet.com/uploads/covers/120/1636828984_38.jpg,https://litnet.com/ru/book/xolod-saga-chast-20-ushchele-zhivyh-prizrakov-b367702,"Детективы, Криминальный детектив"
Мария Гоцкая,На пороге миллениума,"Эта детективная история о том, как пропажа сестры заставила героиню окунуться в пучину криминальных событий начала  90-х. Ей пришлось испытать покушение на себя, вст...",https://rust.litnet.com/uploads/covers/120/1632906050_40.jpg,https://litnet.com/ru/book/xolod-saga-chast-20-ushchele-zhivyh-prizrakov-b367702,"Детективы, Криминальный детектив"
